date_qtr,expectations,import_price,unemp_gap,momentum,dummies,aena_demeaned,fitted,actual,residuals,forecast_error_h1,forecast_error_h2,forecast_error_h3,forecast_error_h4
2004 Q4,0.7232909938866574,-0.08102695619162645,0.005451915626315541,-0.0013478993522777782,0,0.010941976342047214,0.6573100303111159,0.8,0.14268996968888414,-0.05731003031111592,-0.05731003031111592,-0.05731003031111592,0.042689969688884055
2005 Q1,0.7433565970004296,-0.06423054471941994,0.007703102860081358,0.011181310584304428,0,0.0031868024803332045,0.7011972682057286,0.6,-0.10119726820572861,-0.10119726820572861,-0.10119726820572861,-0.00119726820572863,0.09880273179427146
2005 Q2,0.7473261216873165,0.026800952384184645,0.01862172129448863,3.2938612034735977e-4,0,-0.013307121114894927,0.7797710603714422,0.6,-0.1797710603714422,-0.1797710603714422,-0.07977106037144222,0.020228939628557874,0.020228939628557874
2005 Q3,0.7423470069066549,0.018355676245799372,0.03671510029691784,0.0015868332262698103,0,0.015843098657706903,0.8148477153333489,0.6,-0.2148477153333489,-0.11484771533334892,-0.014847715333348832,-0.014847715333348832,-0.11484771533334892
2005 Q4,0.7369778232261258,0.023743226967207175,0.030559582264631856,0.003105333274891112,0,-3.8920835122410735e-4,0.7939967573816319,0.7,-0.09399675738163193,0.006003242618368154,0.006003242618368154,-0.09399675738163193,-0.1939967573816319
2006 Q1,0.7518578044946006,0.012285627634079721,0.02625822616244555,-0.0015425462056946895,0,0.010946302172845658,0.7998054142582768,0.8,1.9458574172326326e-4,1.9458574172326326e-4,-0.09980541425827683,-0.1998054142582768,-0.1998054142582768
2006 Q2,0.7537622585351301,-0.037700263530000465,0.04210440569035117,-0.0011949050935708843,0,-0.03269261088667347,0.7242788847152364,0.8,0.07572111528476366,-0.024278884715236426,-0.1242788847152364,-0.1242788847152364,0.17572111528476364
2006 Q3,0.7558388017961895,-0.026277730785446204,0.064389493684769,0.006319109841699053,0,0.013176335972374706,0.813446010509586,0.7,-0.11344601050958603,-0.213446010509586,-0.213446010509586,0.08655398949041404,0.08655398949041404
2006 Q4,0.7521331472474483,0.012227288950959984,0.09512766955253546,0.006252799990960594,0,-0.0024589429186479745,0.8632819628232564,0.6,-0.26328196282325644,-0.26328196282325644,0.0367180371767436,0.0367180371767436,0.33671803717674353
2007 Q1,0.7509744131625479,0.03906821750370782,0.11040430284147591,0.0056483666612654635,0,0.01462558145199129,0.9207208816209884,0.6,-0.32072088162098844,-0.020720881620988396,-0.020720881620988396,0.27927911837901154,0.17927911837901167
