variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLAENA_EST
NAIRU[18],5.8665848631634105,5.854567315316341,5.382539552115541,6.36927202442939,5.537506725390695,6.209511342654065,2002 Q1,6.6275595,1.9355442952956103,0.6
NAIRU[19],5.808390329120372,5.794709713860235,5.309495496840327,6.317470125439538,5.479530652953844,6.139772418540819,2002 Q2,6.404725666666667,-4.324132417319415,1.7
NAIRU[20],5.74893290751508,5.754125041013981,5.228207933178754,6.227146861971578,5.377709086573695,6.074128860865239,2002 Q3,6.280471133333333,-2.753210339020118,0.8
NAIRU[21],5.686771756462139,5.688939440866439,5.17380611294589,6.1651942238582835,5.381289275285417,6.000159565991368,2002 Q4,6.157816866666667,-4.345011692652445,0.1
NAIRU[22],5.625597606028829,5.637448460920901,5.109176454741492,6.136921130429371,5.336258471462771,5.919955261128024,2003 Q1,6.056286166666666,-4.659608729443221,0.5
NAIRU[23],5.558329166536613,5.556639311782514,5.114743182412655,6.034368313648401,5.226890471695915,5.868230587447332,2003 Q2,6.051211533333333,-5.552309049921789,1.4
NAIRU[24],5.493971627071227,5.488585602865294,5.022431078434139,6.0245957420172,5.187591477352349,5.8173979330699614,2003 Q3,5.9071963,-8.031641781620547,1.3
NAIRU[25],5.438959261062683,5.434403509479514,4.937864147918166,5.940914222842151,5.154828134452744,5.733568271456372,2003 Q4,5.708952,-10.389959501815138,1.9
NAIRU[26],5.393442387533329,5.378250377240586,4.885602259430585,5.913105255128836,5.103694828107619,5.698719234154858,2004 Q1,5.5373783,-11.98772772594987,0.9
NAIRU[27],5.325228848584747,5.299218337785487,4.798888761125749,5.888885451562874,5.044919284115615,5.643426283719409,2004 Q2,5.435813933333333,-6.52308022313326,0.9
NAIRU[28],5.271079307130399,5.266014795748957,4.744332833577636,5.778753982003405,4.968347564428442,5.603049526244021,2004 Q3,5.479516333333334,-2.613938820303563,1.9
NAIRU[29],5.227205081388607,5.214452846533749,4.730844101590977,5.767012298440732,4.9201818961211625,5.543469122447886,2004 Q4,5.117552766666667,-2.0277192439150937,0.5
NAIRU[30],5.180517884803923,5.184295907131865,4.7384181797780105,5.69984064588914,4.863754703645203,5.4699118015302055,2005 Q1,5.106783733333334,-0.5676458004804985,0.1
NAIRU[31],5.1522252629763114,5.1305036460415305,4.704601341621302,5.639086526928804,4.86195365495986,5.477223910895925,2005 Q2,5.0571962,-2.6194201090823377,0
NAIRU[32],5.124053561934999,5.114326526928753,4.6847527444253965,5.614481277468401,4.829179168272204,5.444133096114531,2005 Q3,4.958602733333334,-2.6841037524811817,2.5
NAIRU[33],5.105373460990645,5.0701398330508,4.672204370288963,5.532300266236452,4.8077766810983205,5.422179909348485,2005 Q4,5.007952566666667,-1.0294896726862568,1.4
NAIRU[34],5.097385158205837,5.096312012762212,4.634262414264033,5.562863707048283,4.8030971716250495,5.395683098938324,2006 Q1,5.044254333333333,1.1320875624481808,1.3
NAIRU[35],5.099141743531469,5.062615207169497,4.680098979785538,5.599547832735367,4.8004482772972,5.410435427429437,2006 Q2,4.857371833333333,1.2246973609973288,0.1
