variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLAENA_EST,DLWPI_EST
NAIRU[59],4.553974437298118,4.5743561929483505,4.151733542150604,4.903128199346971,4.33304568415162,4.7763201403148585,2012 Q2,5.1191968333333335,1.197619104671599,0.8,0.892863074430128
NAIRU[60],4.533589671258379,4.5382617437789,4.12120174920869,4.877685737827566,4.307959927443451,4.771340203631367,2012 Q3,5.2758692,0,-0.2,0.7968169649177348
NAIRU[61],4.525365001081526,4.540648097762446,4.143429548973935,4.862954995915328,4.312357293387416,4.776591637321917,2012 Q4,5.3665906,-1.996074256253788,0.8,0.7029905928257918
NAIRU[62],4.51188443243798,4.5257499574393885,4.141096491629451,4.877279091757516,4.310934018606577,4.74705128613524,2013 Q1,5.474744566666667,0.708863727773501,0,0.6980831141340182
NAIRU[63],4.504618958696049,4.521765561388569,4.100990167213725,4.906967257918663,4.2830092115487846,4.722074852020948,2013 Q2,5.631163,-0.5970166986504211,0.7,0.6068505836380744
NAIRU[64],4.488028146353848,4.507887773507182,4.082064801002387,4.9286538557366315,4.24403087238792,4.735834239201316,2013 Q3,5.728559233333334,5.475463371835865,0.7,0.6031901097706793
NAIRU[65],4.457003131506895,4.483261320705518,3.995932171860461,4.8610686264093195,4.2036791472343715,4.703572459726082,2013 Q4,5.840163333333333,4.629088381435409,1.9,0.6849341845574841
NAIRU[66],4.411553492141444,4.442296113634427,3.954053178132918,4.812296378097647,4.177780905089444,4.666624378393652,2014 Q1,5.8994143333333335,7.669939312596341,0.2,0.7649846060403753
NAIRU[67],4.390105730883645,4.403383064505162,3.873836838326316,4.799139044416439,4.135639565434853,4.645035528383284,2014 Q2,5.927505466666666,4.964523048916547,0.7,0.5067578412305984
NAIRU[68],4.337606236419232,4.349768757796749,3.808620296321969,4.751173818507029,4.056065920526016,4.606722400195072,2014 Q3,6.1696800666666665,-0.19047624806542984,0.7,0.5879899342879469
NAIRU[69],4.291226657090329,4.287912317642027,3.79288614385904,4.712760171730252,4.055977024490554,4.563436657003107,2014 Q4,6.2535451,3.8702329019038473,0.8,0.5845528127435884
NAIRU[70],4.242928303174775,4.254701997707711,3.7188528565082994,4.636856856319303,4.015082347537469,4.5482205072900355,2015 Q1,6.202642,4.923510299768541,-1.2,0.581155641477693
NAIRU[71],4.195436604584389,4.21267968036924,3.735234404209614,4.577387974054841,3.9869877095812116,4.477838973476156,2015 Q2,6.0168502,6.346957394866681,1,0.4954593124683271
NAIRU[72],4.165102177850769,4.183960061931482,3.6546163642115004,4.5536279933208625,3.9497775976095486,4.442434628258929,2015 Q3,6.178615033333333,9.97202349434545,0.7,0.5749502491260827
NAIRU[73],4.127062193827895,4.13662842538052,3.6150996013712153,4.535948140665098,3.8950429358863246,4.418321165615168,2015 Q4,5.8348830666666665,8.430710645999362,0.4,0.49019706002066954
NAIRU[74],4.094981346725969,4.097227963263512,3.665393711575599,4.5062863814508365,3.8780967765574097,4.3644479759007755,2016 Q1,5.7961796,3.9254931018431805,-0.1,0.4878058453432921
NAIRU[75],4.0838205572035955,4.098913325208057,3.6555935942801847,4.457080272995717,3.8474837117044447,4.356712365297363,2016 Q2,5.6870875666666665,2.2037031046728828,0.5,0.48543784647980814
NAIRU[76],4.07977461658149,4.110723016043005,3.622105456735427,4.436792086208576,3.8250544369574224,4.35768095648328,2016 Q3,5.657751733333333,-2.092491342424818,0.3,0.40273916699824497
NAIRU[77],4.071305815954678,4.098561489759966,3.6088840682252217,4.426250336834108,3.826676396304936,4.346862014482078,2016 Q4,5.733986333333333,-4.082199452025481,-0.6,0.4811556997222688
NAIRU[78],4.077758414110276,4.086546477624389,3.636730874389489,4.460977417844774,3.8676772708282314,4.334044492140901,2017 Q1,5.807372766666667,-3.3046485355948008,-0.6,0.5584378293900016
NAIRU[79],4.0753231656595315,4.081629847177863,3.604150361106921,4.456188815066457,3.8440887435052047,4.325562025404495,2017 Q2,5.5925062,-0.9636517848274018,0.9,0.4761913760243708
NAIRU[80],4.071107691011895,4.092341634574984,3.699856308729371,4.418997545162748,3.862824186842522,4.322209271021092,2017 Q3,5.5329211,-1.5986130846302515,1,0.4739345363896419
NAIRU[81],4.077124559874241,4.079551124407047,3.658667652571421,4.435259857432901,3.8653964774175456,4.328567500339947,2017 Q4,5.492328333333333,-0.44424773195608225,0.8,0.5500996190347607
NAIRU[82],4.071120212827393,4.095032217348446,3.66608508249507,4.465260557470599,3.84746679311852,4.339340400238714,2018 Q1,5.5449331,-0.5319161477600254,0.7,0.46911735758801143
NAIRU[83],4.057962353468752,4.093250109055608,3.684858629760114,4.429307989904399,3.8287349700578486,4.324058827599818,2018 Q2,5.4400501000000006,0.4391750580978737,0,0.6220859875102569
NAIRU[84],4.048345132070811,4.063204630789317,3.624274927999615,4.383087982623455,3.8493375821122338,4.308598653496265,2018 Q3,5.186054966666666,3.5183928124475905,0.9,0.6182399908317926
NAIRU[85],4.051105169719945,4.076347523502775,3.747793585425863,4.3789662397893805,3.8672930067946854,4.253280570868317,2018 Q4,5.043963466666667,3.4999197780220648,1.3,0.5378422492758439
NAIRU[86],4.047208258469979,4.072231523599077,3.6781466237731935,4.3919673827706465,3.856768545530826,4.27151292591155,2019 Q1,5.0430351,3.2359622773336483,-0.2,0.5349649747239837
NAIRU[87],4.055707795947599,4.057618075396248,3.6837786173413742,4.373914081858446,3.8768712375127508,4.286820981787609,2019 Q2,5.2238084,2.851165052596638,2,0.6079046076382433
NAIRU[88],4.059535669131371,4.069015638527905,3.6623794257995352,4.4241266999910005,3.868004218351784,4.28573221733075,2019 Q3,5.254297966666667,2.3068088250274066,0.6,0.5289018751791552
NAIRU[89],4.092515969721933,4.098450837189059,3.6980046691736423,4.471496766819568,3.9010374047213237,4.304504665398714,2019 Q4,5.172783066666667,2.1268347403926136,1.4,0.5261192143361626
NAIRU[90],4.1163699582026245,4.125626537775243,3.7352762043870045,4.446134422009354,3.919934257831052,4.35249767455837,2020 Q1,5.185987366666667,2.4650631943442747,1.2,0.5233656806108655
NAIRU[91],4.135160464777352,4.132462038381156,3.812028470323209,4.444796010289426,3.9471668592483224,4.36914381590848,2020 Q2,6.9021066,3.843413733926049,5.9,0.2234637801416639
NAIRU[92],4.147038402384428,4.154443892241942,3.808378560647778,4.476001292442837,3.9374904700611784,4.391948658716568,2020 Q3,7.053697866666667,-0.9333966790475046,-1.7,0.07437709528446135
NAIRU[93],4.140203406320135,4.149142271755844,3.7889145100244526,4.492785645481797,3.9328729396259066,4.356337149616389,2020 Q4,6.775506,-2.2989518224698635,-0.3,0.5190964566970102
NAIRU[94],4.142164878562742,4.148894657178135,3.790023799155949,4.470404241493819,3.946873361836587,4.336091737608002,2021 Q1,5.931453366666666,-4.464260590811708,1,0.6634746048556295
NAIRU[95],4.15170048499922,4.168824987905735,3.805990261437639,4.482256741565023,3.961237942988644,4.347042371429294,2021 Q2,5.1970261,-6.782259633876109,0.2,0.5130095531030499
NAIRU[96],4.161779810366732,4.156205239235012,3.845742555115927,4.4959549999504285,3.978783804493737,4.363292767976174,2021 Q3,4.668402566666667,1.1864545956192352,2.7,0.5103911918175719
