variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST,DLAENA_EST,DLWPI_EST
NAIRU[20],5.699841223741603,6.1007770440090985,3.835790711989935,6.555556628824782,4.343208427265864,6.403098967751154,2002 Q3,6.280471133333333,-2.753210339020118,1.5304735988773022,0.9,0.8991711191963958
NAIRU[21],5.615326964049192,6.01622702881709,3.795181278049271,6.460938844058532,4.208530454468529,6.305241326827784,2002 Q4,6.157816866666667,-4.345011692652445,-0.0031097987960748696,0.1,0.8911580300563493
NAIRU[22],5.579039044641089,5.9645875429168465,3.7086496440294647,6.388520501739141,4.2152294402837995,6.257973633463835,2003 Q1,6.056286166666666,-4.659608729443221,1.5375356028862308,0.5,1.0088357944340487
NAIRU[23],5.492997089372837,5.860422647633225,3.684382478019158,6.317631277966777,4.072301616846325,6.189985571031959,2003 Q2,6.051211533333333,-5.552309049921789,1.5366661127980796,1.4,0.7500035156546403
NAIRU[24],5.387240291322709,5.756021516608616,3.5321701634268163,6.202194687564932,3.8902234179303226,6.090168238717166,2003 Q3,5.9071963,-8.031641781620547,-0.5734931659679754,1.3,0.8679533719723409
NAIRU[25],5.32786057525001,5.7277830752159264,3.4510698415854892,6.191440144820286,3.8520508934675775,6.018158067801298,2003 Q4,5.708952,-10.389959501815138,0.09831130400757004,1.9,0.9828088936262525
NAIRU[26],5.270034412715042,5.6725250578679605,3.416797773010465,6.088450254936973,3.8400980973282897,5.962695784274229,2004 Q1,5.5373783,-11.98772772594987,1.3651186454151087,0.9,0.8521049731933239
NAIRU[27],5.209741435121946,5.626918970028642,3.3058760645216303,6.023377022294656,3.7337849686865963,5.872606324493198,2004 Q2,5.435813933333333,-6.52308022313326,0.7353415695427357,1.1,0.8449054486527885
NAIRU[28],5.142826117747744,5.545788076850081,3.213370664182924,5.956596856727042,3.7064795222760756,5.829512744660909,2004 Q3,5.479516333333334,-2.613938820303563,1.4924280506167564,1.8,0.8378265645998084
NAIRU[29],5.050868971828078,5.518709738353429,3.1093512868430837,5.892251273217548,3.455614055263087,5.74852611323738,2004 Q4,5.117552766666667,-2.0277192439150937,1.3543191794279874,0.6,1.0669929324696348
NAIRU[30],4.967422764328876,5.450058498971201,3.002655439365893,5.802047070247803,3.3578871798396075,5.711865680879558,2005 Q1,5.106783733333334,-0.5676458004804985,0.8760945391007802,0.1,1.0557282805876866
NAIRU[31],4.906875538155701,5.408840542035584,2.7991623368271004,5.80658921483857,3.195653629841647,5.673988233701255,2005 Q2,5.0571962,-2.6194201090823377,0.7337813341348864,-0.1,1.0446989964655096
NAIRU[32],4.876073366047917,5.372102294285951,2.846588361135885,5.763048543662169,3.2012093711459952,5.642094397373806,2005 Q3,4.958602733333334,-2.6841037524811817,1.1570869815165752,2.5,0.9195467093100262
NAIRU[33],4.798212272073004,5.327181449516813,2.6641441509710893,5.678173576441216,3.122005912791675,5.580380669033924,2005 Q4,5.007952566666667,-1.0294896726862568,0.5731498987183947,1.4,0.9111680351256091
NAIRU[34],4.761371034948158,5.280382403198766,2.681399158289927,5.667456207041257,3.0524807732267614,5.558672961387646,2006 Q1,5.044254333333333,1.1320875624481808,1.8606576038000977,1.2,1.1274076573218217
NAIRU[35],4.702101215935804,5.238393465182611,2.539446098698087,5.644007748916297,2.937129432645525,5.484804989663764,2006 Q2,4.857371833333333,1.2246973609973288,1.2092527480498605,0,1.0039125028328044
NAIRU[36],4.632728738005931,5.198696469967824,2.360195227808413,5.573455219792022,2.75712264224265,5.4404729050095835,2006 Q3,4.678365866666667,-0.7532992307544895,0.3393529137975415,1.2,0.9939341902557963
