variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST,DLWPI_EST
NAIRU[13],6.419635334610071,6.394330558901897,6.06683438454101,6.826326459342607,6.190359067749323,6.663516829238745,2000 Q4,6.1720384,8.981477240732882,1.696677778950595,0.9530364850694362
NAIRU[14],6.403916145094349,6.39044458241523,6.048223358420105,6.782081992297561,6.152970674201747,6.675974559334705,2001 Q1,6.367178733333334,8.228463259096674,0.8780408499072356,0.944039377908723
NAIRU[15],6.391085764490393,6.391394261011077,6.044636666531975,6.8310576536124366,6.1717774110676995,6.635252343465002,2001 Q2,6.8695093,8.246203732647572,0.5173479262792213,0.9352105570280322
NAIRU[16],6.3528088979528805,6.3415321938031965,5.999232452717231,6.707213775792224,6.12806236995471,6.568491121509373,2001 Q3,6.867719433333333,5.66886876816568,-0.06864248775311221,0.6626929487609345
NAIRU[17],6.309985241122254,6.291540173774997,5.974478801528275,6.697218853277995,6.087983842632254,6.528843300060093,2001 Q4,6.9794624333333335,2.8755974987303645,-0.05343376428146307,0.7894777847007539
NAIRU[18],6.2780919972848634,6.274890048224891,5.891978654756918,6.653060983075675,6.040457140981918,6.479657617064135,2002 Q1,6.6267257,1.9355442952956103,0.47007120112489975,0.7832938221187469
NAIRU[19],6.217136201102386,6.223799220993873,5.819088618368406,6.598902073124095,5.984102179914427,6.417640119869063,2002 Q2,6.404701066666666,-4.324132417319415,-0.136413350834097,0.7772059847702906
NAIRU[20],6.172045035896572,6.16711394228166,5.76145042197704,6.574166051559369,5.946856063190269,6.376608266291686,2002 Q3,6.280415166666667,-2.753210339020118,1.5154858892433731,0.8991711191963958
NAIRU[21],6.105309916100134,6.117654770461614,5.71132729777216,6.39877313960033,5.897324322195804,6.307498019259022,2002 Q4,6.1577983666666665,-4.345011692652445,-0.008033845420829522,0.8911580300563493
NAIRU[22],6.062777844505199,6.067923117477029,5.700534154952912,6.398321235604629,5.860529087592099,6.277270480555536,2003 Q1,6.0557996,-4.659608729443221,1.5417337648650609,1.0088357944340487
NAIRU[23],5.9761742364914605,5.98703445309042,5.617089260141979,6.347987424768616,5.765369701518026,6.1896960837591655,2003 Q2,6.051190966666667,-5.552309049921789,1.5545877755401616,0.7500035156546403
NAIRU[24],5.895195701860806,5.910092081611202,5.487560032412488,6.221944781666164,5.687725104973526,6.1130839110921,2003 Q3,5.9071402,-8.031641781620547,-0.5915692490312319,0.8679533719723409
NAIRU[25],5.840892518292553,5.850275900227531,5.491211222432229,6.173880557399858,5.634647707273538,6.048271587941778,2003 Q4,5.708938,-10.389959501815138,0.09234868097014459,0.9828088936262525
NAIRU[26],5.79013140778475,5.801921127744965,5.430885776499029,6.140043156495933,5.590460177346652,5.991440069957385,2004 Q1,5.537160166666667,-11.98772772594987,1.372697846812354,0.8521049731933239
NAIRU[27],5.735571710146397,5.72755555449073,5.416757617807864,6.087018034074601,5.508338565081905,5.953945913438711,2004 Q2,5.4358049,-6.52308022313326,0.7524544870042504,0.8449054486527885
NAIRU[28],5.668664014540559,5.688427427225708,5.3199377407581085,5.971530170133055,5.43164310970205,5.8823075034007495,2004 Q3,5.479479433333333,-2.613938820303563,1.478321176263253,0.8378265645998084
NAIRU[29],5.610556333492582,5.623397228517586,5.279725720392177,5.894049880695001,5.383239147342556,5.818546650327466,2004 Q4,5.117537766666667,-2.0277192439150937,1.3455660850897333,1.0669929324696348
