variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST
NAIRU[47],4.848105853876007,4.863057785027089,4.298973358257133,5.3708871516545695,4.48146300461988,5.2056748113641875,2009 Q2,5.7288569,12.903025974373161,-0.849727323556082
NAIRU[48],4.861608500810021,4.86875326604695,4.325462506595261,5.443264574568755,4.528559980910605,5.200315735973325,2009 Q3,5.683094133333333,6.166011635755986,0.9446581345718075
NAIRU[49],4.870719317359877,4.906585863498863,4.249954297810078,5.430269486069201,4.517811578779941,5.22457454747814,2009 Q4,5.5577594999999995,-12.760168444084918,0.8274905403744315
NAIRU[50],4.909297953835334,4.9376745490154725,4.328803986773149,5.430422774061386,4.5965097078428245,5.217372550830288,2010 Q1,5.328857333333334,-14.112877009846336,1.362674730804958
NAIRU[51],4.873250319270461,4.880840096709961,4.2646619019908885,5.404022334578455,4.583597818610867,5.1752712145425415,2010 Q2,5.290819833333334,-7.654007712233479,2.0716951730066935
NAIRU[52],4.832881307840632,4.850895906392452,4.2896472782271,5.302407997724533,4.490960657251433,5.105447409065962,2010 Q3,5.1248281,-3.0829158019901826,1.4689538112778955
NAIRU[53],4.771140237617645,4.788270733844948,4.2460697854418195,5.272835530877469,4.449869213569441,5.0986677690846145,2010 Q4,5.0902243,-2.3438572972017013,1.317385807590532
NAIRU[54],4.712319603285734,4.712555926823046,4.207325268888653,5.1832815039127995,4.415489864819311,5.010485853947927,2011 Q1,4.967334533333333,-4.185525773661247,2.2230613047244274
NAIRU[55],4.656858070799847,4.657155308703418,4.103413639595678,5.152638199462291,4.352747659718335,4.937141781567006,2011 Q2,4.9631449000000005,-5.84962066816086,0.5325759742034197
NAIRU[56],4.59271308966284,4.582602141331875,4.139481167413573,5.118907205361259,4.298054427225538,4.901197418761345,2011 Q3,5.1948071,-5.760499194271507,0.2981018793410062
NAIRU[57],4.581136123221619,4.5548964061244,4.07528343957934,5.072471977737446,4.246566929365161,4.951624056882826,2011 Q4,5.205147333333333,0,-0.09854267268427641
NAIRU[58],4.564631123892899,4.52486949274436,3.989598795942939,5.133525500697423,4.223552484555512,4.977149648919545,2012 Q1,5.1412268,-2.2111453607431386,1.2303197727378645
NAIRU[59],4.569660256972533,4.552052674519243,3.9921809985807593,5.117487251733001,4.229534322340268,4.939412404279438,2012 Q2,5.119230833333334,1.197619104671599,0.027906923891585222
NAIRU[60],4.642924447991373,4.636882461787927,4.128337504212779,5.187340549531031,4.332496597647568,4.9719765666938045,2012 Q3,5.2758024,0,-0.8045606990861875
NAIRU[61],4.720641067678241,4.7316522289310115,4.238991302813562,5.3144286659070445,4.38709049179335,5.036296400387766,2012 Q4,5.366400966666666,-1.996074256253788,0.8876957501311455
NAIRU[62],4.7776232148859386,4.786441973791481,4.252120128507399,5.365179181382109,4.385212523688145,5.111895602430391,2013 Q1,5.475562133333334,0.708863727773501,-0.028746300626059096
NAIRU[63],4.81873057885705,4.767734313706115,4.2485447407356665,5.397088418821845,4.471899743657762,5.170091835817849,2013 Q2,5.6312455,-0.5970166986504211,0.5541281964675182
NAIRU[64],4.865256107203748,4.847017577796685,4.287544359674808,5.523896371981218,4.474883880356085,5.250630190916833,2013 Q3,5.728460133333333,5.475463371835865,-0.13445436357621965
NAIRU[65],4.885176503081512,4.850668857265648,4.356221104358925,5.5893007268400705,4.515471939617594,5.328563266708145,2013 Q4,5.839885933333333,4.629088381435409,0.5716689968045197
NAIRU[66],4.8522972118347765,4.816035636288785,4.288790867574361,5.583497411857127,4.471403708683645,5.21883680271563,2014 Q1,5.898663866666666,7.669939312596341,-0.06696669570631641
NAIRU[67],4.842529021858425,4.799894530848995,4.2219001511478345,5.542173324727398,4.4355505758679605,5.248652589169941,2014 Q2,5.9276461,4.964523048916547,0.35027208198039617
NAIRU[68],4.764025806577255,4.750546587091036,4.153579237021426,5.378981394520035,4.3861532367060665,5.182574155878141,2014 Q3,6.170373333333333,-0.19047624806542984,0.35320078185521186
NAIRU[69],4.72699117970364,4.681293397476731,4.117478481435334,5.475079289768956,4.300964512288905,5.196382335802682,2014 Q4,6.2530171999999995,3.8702329019038473,0.09210391549259178
NAIRU[70],4.667159896934547,4.683520726789981,3.938162681890681,5.4483126246827,4.182151402714095,5.1067620434350145,2015 Q1,6.203080233333333,4.923510299768541,-0.5882633245682944
NAIRU[71],4.638845576883233,4.6021529852909655,4.005752051033525,5.328164508882612,4.262053835357016,5.078392734123914,2015 Q2,6.017142166666667,6.346957394866681,0.8895871088934415
NAIRU[72],4.539881675228606,4.537750283587628,3.910015561508911,5.217700900887713,4.096651583283778,4.970757643334622,2015 Q3,6.1797567,9.97202349434545,-0.021175465452816233
NAIRU[73],4.531570726138669,4.541948587459558,3.8698079401208534,5.166576010954566,4.114790983328857,4.95070453257187,2015 Q4,5.834099066666667,8.430710645999362,0.15640637770168997
NAIRU[74],4.487372060211996,4.444962224390814,3.8993807159768714,5.122777414370011,4.084516009619974,4.903975369159068,2016 Q1,5.796703166666666,3.9254931018431805,0.09494765262225702
NAIRU[75],4.492637358959281,4.5061214681055635,3.925883663208517,5.137194953135769,4.125818968902626,4.873852369516553,2016 Q2,5.687602366666667,2.2037031046728828,-0.43852111823270423
NAIRU[76],4.456920944490518,4.4410591617184,3.8607651811699095,5.101749343227558,4.069605550365165,4.904296583429204,2016 Q3,5.6590442,-2.092491342424818,1.0666821077395694
NAIRU[77],4.450450928863165,4.4059855622094535,3.942921368266851,5.079383418465775,4.094409180365233,4.838225898628332,2016 Q4,5.732716666666667,-4.082199452025481,-1.452114440456409
NAIRU[78],4.488165801068134,4.477748992108513,3.9966833791191005,5.046256580041533,4.120597593744324,4.8630711152172275,2017 Q1,5.808258333333334,-3.3046485355948008,0.6502467696998915
NAIRU[79],4.474242870147321,4.469473175234067,3.898712092369607,5.046564862056466,4.071063024030922,4.868244655782217,2017 Q2,5.5933548,-0.9636517848274018,0.7594613807553108
NAIRU[80],4.4556892688056156,4.439569974302269,3.873109345870395,5.044256737319606,4.112436138289245,4.848010910897221,2017 Q3,5.5344733,-1.5986130846302515,0.2628925583987307
NAIRU[81],4.440633975321944,4.4254462664715,3.8373322863740076,5.071224720197758,4.088388255038955,4.803753608468108,2017 Q4,5.490411933333333,-0.44424773195608225,1.2337220198893828
NAIRU[82],4.387737621483534,4.408596270592208,3.7974897976016337,4.995937714254528,4.065525026083129,4.770962652823058,2018 Q1,5.545994666666667,-0.5319161477600254,0.09013692114053784
NAIRU[83],4.371195688663633,4.354398087950181,3.8693226855406113,4.960587743640129,4.025915840200319,4.7228081203891,2018 Q2,5.4414234666666665,0.4391750580978737,0.19696089509876336
NAIRU[84],4.365975753595312,4.357226938516041,3.8137558155930393,4.959786135546795,4.027318220970255,4.718206496887382,2018 Q3,5.187900833333334,3.5183928124475905,0.9185671614657775
NAIRU[85],4.357146096925718,4.3573040079117416,3.8812010307443057,4.929253076098878,4.027764166838725,4.7121236828373005,2018 Q4,5.041320266666666,3.4999197780220648,1.0717167201511169
NAIRU[86],4.351376994773893,4.341136144599206,3.8286074331803017,4.903126224077329,4.048607499589449,4.668174894941886,2019 Q1,5.042508066666667,3.2359622773336483,0.6988062868842682
NAIRU[87],4.337415512416386,4.337928775390326,3.7517027004164496,4.945205006634134,4.006298625801456,4.691789900853327,2019 Q2,5.2261252,2.851165052596638,1.1273383622992905
NAIRU[88],4.370467115753277,4.3656612263354795,3.8062848454741673,4.935197881095167,3.997573343472048,4.764539843217603,2019 Q3,5.2564554333333335,2.3068088250274066,0.43473280564872985
NAIRU[89],4.388881466671201,4.382611974169247,3.870355441963229,4.967731642639637,4.014762504567232,4.766322066063742,2019 Q4,5.168820166666666,2.1268347403926136,0.7537802501482949
NAIRU[90],4.48430283014441,4.464668758397629,3.897977020708267,5.084484862095955,4.11193192761267,4.901626826187345,2020 Q1,5.184994933333333,2.4650631943442747,0.9183271615169963
NAIRU[91],4.49576725933189,4.4640276801558,3.880758690420669,5.0996047621282266,4.1277793358152355,4.91738209496543,2020 Q2,6.906928266666667,3.843413733926049,5.096238464209623
NAIRU[92],4.493792267894295,4.496273333035498,3.896917549987423,5.151458880472625,4.083377180981234,4.85757887248164,2020 Q3,7.0583137,-0.9333966790475046,-1.214074260352882
NAIRU[93],4.517082098748417,4.526290461742313,3.9134450848820244,5.103751982430367,4.10912988597885,4.90246595419886,2020 Q4,6.7675247,-2.2989518224698635,-1.4813538080317046
NAIRU[94],4.552882866452306,4.572884231491541,3.9814381352430823,5.136477551598562,4.183679415870254,4.894304063506189,2021 Q1,5.9296846,-4.464260590811708,-0.10662744680264291
NAIRU[95],4.588623463372307,4.559477511105408,4.069179346428558,5.1773534717092815,4.2164997574794905,4.956839925571606,2021 Q2,5.204607166666667,-6.782259633876109,1.04723571859906
NAIRU[96],4.619166870117232,4.586367652881577,3.9863611282655933,5.2574072246775945,4.278568145357818,5.022255180851395,2021 Q3,4.6720188,1.1864545956192352,2.4054252151084476
NAIRU[97],4.612220108969817,4.597982279267763,4.072618643580833,5.20453564429595,4.241800780539581,4.978316619348684,2021 Q4,4.688346699999999,5.202515398928043,-0.966923947563969
NAIRU[98],4.634763553745013,4.644469076276612,4.0366520902568475,5.209794788428625,4.290629128672946,4.984127504467787,2022 Q1,4.057057533333333,9.299286684916463,1.0965103183948832
NAIRU[99],4.693972122851155,4.682805016277634,4.141470380457023,5.29980067880072,4.376714590292013,5.01250401193939,2022 Q2,3.8043704,8.08520966290951,1.6907721545960652
NAIRU[100],4.745289234096259,4.740403307473867,4.22479256355871,5.347127976604978,4.434988008100282,5.081267789776734,2022 Q3,3.5299454666666668,8.939550265436758,2.306242684131743
NAIRU[101],4.780289464723508,4.772567413359436,4.305218639764756,5.300774918978108,4.4645556317940756,5.0866460648135146,2022 Q4,3.4881949666666667,8.687509078839728,0.79466169156589
NAIRU[102],4.788117403321995,4.775707734223929,4.361037185417247,5.362395501916144,4.462085641943025,5.104113003076638,2023 Q1,3.6180266999999997,4.382547954002902,1.4599163688452266
NAIRU[103],4.799619427677082,4.78043600706189,4.334448054618803,5.4000578025329915,4.4839657781599875,5.0702343254037325,2023 Q2,3.6108485,6.271647386762602,1.1091335516135836
NAIRU[104],4.834780414491917,4.787146163994436,4.353611679283353,5.3808768524930315,4.5401937405476955,5.17868022100583,2023 Q3,3.657524866666667,1.3772214621226908,1.9964499266723723
NAIRU[105],4.78325331997471,4.773920902548067,4.275460795480793,5.3472604366803855,4.483799099220769,5.08176175757625,2023 Q4,3.8930452333333334,0.5979091056057761,1.6537887219718828
NAIRU[106],4.761513766554081,4.739633119803597,4.296085912807977,5.334243622571492,4.444349931009693,5.091918699839421,2024 Q1,3.90387,1.0662705744040046,0.9077221003578106
NAIRU[107],4.776067707636816,4.757602012006348,4.290661853362582,5.311061652379545,4.4522001698352645,5.108415247652981,2024 Q2,4.051040833333333,0.9077218151117172,0.8719481749977054
NAIRU[108],4.887395042800514,4.880534003256465,4.39123671654187,5.444116460285185,4.582989655756349,5.186446687853081,2024 Q3,4.121819833333333,1.1333706509849328,1.150593419367374
NAIRU[109],4.926573406034734,4.928710924433655,4.374629963152024,5.5045305275025616,4.569205916861215,5.2412159185630145,2024 Q4,3.999603233333333,0.4460973940624946,1.6477697553439197
NAIRU[110],4.971509318903065,4.944089638450258,4.450034116490936,5.5532647937241455,4.60983219874139,5.297868379697418,2025 Q1,4.0803472,3.2056416116116537,1.2434978188682444
NAIRU[111],5.023973344527588,5.041818061119986,4.489225088159679,5.56173129566945,4.638833325507089,5.3878020520495085,2025 Q2,4.170348633333333,2.967576814611661,0.624966528766624
NAIRU[112],5.0880594858428925,5.093336458477601,4.534622246520002,5.701905305633141,4.661626518971956,5.46242390374189,2025 Q3,4.3200421,2.0818595756032288,1.4013319239765565
NAIRU[113],5.109617965462199,5.143252310920623,4.373181607453125,5.781529927328002,4.695633194175913,5.530109748545636,2025 Q4,4.32713855,2.0818595756032288,0.857419813478593
