date,region,DLWPI,UR
2005 Q3,NSW,1.3683223751457696,5.0342424999999995
2005 Q4,NSW,0.6772034909944047,5.205161333333334
2006 Q1,NSW,1.1185798957716209,5.276624666666667
2006 Q2,NSW,0.6651909228305719,5.2727838333333334
2006 Q3,NSW,1.2081420974204171,5.1642392
2006 Q4,NSW,0.7612869828721891,4.804395933333333
2007 Q1,NSW,1.0775966344491295,5.0712323
2007 Q2,NSW,0.6410278360919008,4.8357312
2007 Q3,NSW,1.3749555583102868,4.6732073666666665
2007 Q4,NSW,0.7326040092072716,4.642597666666666
2008 Q1,NSW,0.9341012393139003,4.411779666666667
2008 Q2,NSW,0.8230499136515412,4.6305481
2008 Q3,NSW,1.1207453020388947,4.793772566666667
2008 Q4,NSW,1.008073052835634,5.2034902333333335
2009 Q1,NSW,0.7992050531338002,6.1297912
2009 Q2,NSW,0.6941029354234907,6.346554733333333
2009 Q3,NSW,0.9832920916238663,5.7843807
2009 Q4,NSW,0.39062549670649815,5.975754866666667
2010 Q1,NSW,0.9699397088713368,5.490979666666667
2010 Q2,NSW,0.5774799493884153,5.4323144333333335
2010 Q3,NSW,1.5238390104932442,5.1215735
2010 Q4,NSW,0.6594465725281218,5.0154236333333335
2011 Q1,NSW,1.0275662578203892,4.904826633333333
2011 Q2,NSW,0.5560718684697541,5.140452766666667
2011 Q3,NSW,1.194318284417406,5.3364206
2011 Q4,NSW,0.9090971701252393,5.3424824
2012 Q1,NSW,0.8111806535375798,4.976346566666667
2012 Q2,NSW,0.5371543801910406,5.0783149000000005
2012 Q3,NSW,1.3303965626363379,5.0484919
2012 Q4,NSW,0.439561147303813,5.0985137
2013 Q1,NSW,0.5249355886143725,5.2560128
2013 Q2,NSW,0.43535114471975334,5.5005275000000005
2013 Q3,NSW,0.865057297600913,5.7197355
2013 Q4,NSW,0.6011181690280587,5.900668366666666
2014 Q1,NSW,0.6825965070399675,5.481338433333333
2014 Q2,NSW,0.3395589001138788,5.620479866666667
2014 Q3,NSW,0.9278851895588858,5.797865566666666
2014 Q4,NSW,0.4189365155277791,5.9786421
2015 Q1,NSW,0.41718875694058966,6.108816966666667
2015 Q2,NSW,0.3325023844771735,5.7774018
2015 Q3,NSW,0.9909247062772408,5.860202966666667
2015 Q4,NSW,0.3281381123176885,5.274926933333333
2016 Q1,NSW,0.40866423854524214,5.3220594666666665
2016 Q2,NSW,0.40700096882968495,5.158021266666666
2016 Q3,NSW,0.8896136308970348,4.994185
2016 Q4,NSW,0.4017683186612331,5.0237366
2017 Q1,NSW,0.40016059800072057,5.143838866666667
2017 Q2,NSW,0.3189795368100157,4.7456432
2017 Q3,NSW,0.950878796902721,4.849600033333333
2017 Q4,NSW,0.3149608902896617,4.7550839
2018 Q1,NSW,0.47058910374122576,5.0320045
2018 Q2,NSW,0.3904729678156471,4.859369666666667
2018 Q3,NSW,1.1623532648399326,4.656749033333334
2018 Q4,NSW,0.3844679860809386,4.435856033333334
2019 Q1,NSW,0.3829954892299092,4.242327666666666
2019 Q2,NSW,0.3815342285652612,4.622564733333333
2019 Q3,NSW,0.9852296443010999,4.459224766666667
2019 Q4,NSW,0.3763647649304147,4.683970466666667
2020 Q1,NSW,0.37495357014796227,4.658241533333333
2020 Q2,NSW,0,6.493792633333333
2020 Q3,NSW,0.5970166986503322,6.852055733333334
2020 Q4,NSW,0.3713335124660766,6.439270733333333
2021 Q1,NSW,0.5175612292585008,5.7021711999999996
2021 Q2,NSW,0.2945510229757531,5.2503172000000005
2021 Q3,NSW,0.878482955573201,4.652130233333334
2021 Q4,NSW,0.6538345123462186,4.7539085
2022 Q1,NSW,0.5776189345051641,3.9613695
2022 Q2,NSW,0.5026940567973703,3.6780641666666667
2022 Q3,NSW,1.351852675502041,3.403775
2022 Q4,NSW,0.8444807399498266,3.1989974
2023 Q1,NSW,0.6983268602188453,3.2330561666666666
2023 Q2,NSW,0.48594333737472795,3.1675529
2023 Q3,NSW,1.7164856721105792,3.4336106666666666
2023 Q4,NSW,1.2851039219159865,3.5041734
2024 Q1,NSW,0.6030169026590926,3.8560260333333334
