period,median,lower90,upper90,date,region
89,4.952562528801068,4.509557237023091,5.407924405866572,2019 Q4,VIC
90,4.937700434543416,4.493151580537971,5.3920047978897125,2020 Q1,VIC
91,4.9263873181629805,4.485419322509911,5.3799687355670995,2020 Q2,VIC
92,4.9121539925606745,4.466352650774274,5.3681644910646655,2020 Q3,VIC
93,4.907773016384332,4.466315832772878,5.3716325322857115,2020 Q4,VIC
94,4.89738649881456,4.457417252834054,5.362802180329035,2021 Q1,VIC
95,4.880896946386562,4.447615350561839,5.352131268502906,2021 Q2,VIC
96,4.874256601685575,4.437296882238599,5.346258479468077,2021 Q3,VIC
97,4.8745678296164465,4.443939626692217,5.351027897059879,2021 Q4,VIC
98,4.876770429843925,4.452223979749618,5.355441377729823,2022 Q1,VIC
99,4.876697592602988,4.44894767105716,5.352378761058053,2022 Q2,VIC
100,4.891780574752553,4.467358052217017,5.374769684040644,2022 Q3,VIC
101,4.899566638162062,4.477454146228299,5.386597028716232,2022 Q4,VIC
102,4.9104043029861835,4.485737985232192,5.397224678688614,2023 Q1,VIC
103,4.9147595608602925,4.48553017036299,5.413099380945651,2023 Q2,VIC
104,4.9295292930228385,4.494378830656442,5.433750489297977,2023 Q3,VIC
105,4.936083758586534,4.496930886698559,5.4472845058933554,2023 Q4,VIC
106,4.946087372145046,4.490756770218608,5.4663702035857025,2024 Q1,VIC
107,4.948249674127844,4.479380354955121,5.481007464213768,2024 Q2,VIC
108,4.963766924232651,4.472096387809276,5.507694200039007,2024 Q3,VIC
109,4.968485111507992,4.463805042200429,5.52262550769955,2024 Q4,VIC
110,4.969124762557289,4.439570584369539,5.544444419259964,2025 Q1,VIC
1,5.732038526380585,5.409503662114142,6.036414973845983,1997 Q4,QLD
2,5.757730489390956,5.4201707072591905,6.0814819665207684,1998 Q1,QLD
3,5.782155357896055,5.428438500136929,6.135181121391861,1998 Q2,QLD
4,5.8069335278234,5.440793289248,6.18771214015813,1998 Q3,QLD
5,5.829649541353284,5.45378994436052,6.2350814599503614,1998 Q4,QLD
6,5.8548785159698955,5.464445166337476,6.284301834784004,1999 Q1,QLD
7,5.876184905891767,5.4769871183421515,6.33344666342136,1999 Q2,QLD
8,5.8948931606874,5.485706904042444,6.373215874703594,1999 Q3,QLD
9,5.917691006993198,5.491783704769847,6.419713120503545,1999 Q4,QLD
10,5.935970354850344,5.500201027114857,6.460607465447071,2000 Q1,QLD
11,5.957144527432201,5.509818276844591,6.499267446695448,2000 Q2,QLD
12,5.968687556535606,5.513485323196643,6.526519652339774,2000 Q3,QLD
13,5.985710457436532,5.5151703947345165,6.551400453592004,2000 Q4,QLD
14,5.99651197789567,5.518415685398591,6.5776409905394875,2001 Q1,QLD
15,6.003093100986216,5.526498431300484,6.591545626371042,2001 Q2,QLD
16,6.008445839428881,5.525308642816781,6.604407478330894,2001 Q3,QLD
17,6.01161197097789,5.5264591722094725,6.6127795562511755,2001 Q4,QLD
18,6.017712919509497,5.538263423786845,6.6201493622164715,2002 Q1,QLD
19,6.021529398226205,5.531421036175046,6.6237585763251765,2002 Q2,QLD
20,6.019499328910809,5.536349526381695,6.629331454424904,2002 Q3,QLD
21,6.02124873358717,5.537124366609567,6.6342044976072385,2002 Q4,QLD
22,6.022155126544709,5.530929875093177,6.632106506324856,2003 Q1,QLD
23,6.018956450162948,5.525256127877857,6.6292568386000275,2003 Q2,QLD
24,6.012722981545481,5.527204202170316,6.622431940539944,2003 Q3,QLD
25,6.005454319741942,5.519755709978762,6.615769707585852,2003 Q4,QLD
26,6.00349049082037,5.511187747750084,6.597867961416276,2004 Q1,QLD
27,5.995601279323699,5.509205781065567,6.591148485316253,2004 Q2,QLD
28,5.984365716414173,5.500782912792266,6.577317724781681,2004 Q3,QLD
