variable,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST
NAIRU[59],4.685077124637845,4.307541710607757,5.056730142669756,4.449160827936661,4.9199793169302115,2012 Q2,5.119095066666667,1.197619104671599,0.044800077004536476
NAIRU[60],4.692451564008856,4.312073826964933,5.068129465898913,4.454469083515864,4.92869520797191,2012 Q3,5.275867166666667,0,-0.8211622822516196
NAIRU[61],4.705599808623504,4.320381419905248,5.0814561283141755,4.4636817067079555,4.937699541582695,2012 Q4,5.366378533333333,-1.996074256253788,0.9216969454665547
NAIRU[62],4.710727634293081,4.315768721977991,5.092459428648913,4.468124286220694,4.946717210806323,2013 Q1,5.4757147,0.708863727773501,-0.02664740789100062
NAIRU[63],4.716570706179862,4.312404635269609,5.101769184074289,4.46804550886547,4.955845118828364,2013 Q2,5.631051,-0.5970166986504211,0.55655518565222994
NAIRU[64],4.717669933460688,4.313146282059229,5.105401240819177,4.4677138779938925,4.961262452643278,2013 Q3,5.728568366666667,5.475463371835865,-0.1308566053148219
NAIRU[65],4.715304947651177,4.309473498059724,5.106822866523421,4.462608877655929,4.9611733188787275,2013 Q4,5.8398981333333335,4.629088381435409,0.5574913616597565
NAIRU[66],4.702652669102815,4.2964892700622235,5.101115500459324,4.447377276955028,4.950463419840834,2014 Q1,5.898870633333334,7.669939312596341,-0.05769448617688466
NAIRU[67],4.692895928285685,4.286501054312927,5.091977429452131,4.4389721796807295,4.944435113655846,2014 Q2,5.9273562,4.964523048916547,0.3376403548537965
NAIRU[68],4.674375415660731,4.262178406893376,5.069219743799482,4.419689765251805,4.923807465633418,2014 Q3,6.1702621,-0.19047624806542984,0.3421873679798404
NAIRU[69],4.6536691014716,4.238487500950091,5.0495454802703215,4.396830564006376,4.902003919878741,2014 Q4,6.2530794,3.8702329019038473,0.08517968061315662
NAIRU[70],4.629155372890434,4.2180271196653285,5.027982173527879,4.3704517667757266,4.87889457785123,2015 Q1,6.203302166666667,4.923510299768541,-0.5830675522303652
NAIRU[71],4.611438904195201,4.198398944933825,5.004577656658973,4.35280905424644,4.859686608661467,2015 Q2,6.0167187,6.346957394866681,0.8788322722279029
NAIRU[72],4.58343582108574,4.168895585461033,4.973974756330133,4.324949122027079,4.835656846865357,2015 Q3,6.179565333333334,9.97202349434545,-0.03321823962387782
NAIRU[73],4.564411769322881,4.150215001633049,4.949863086503436,4.3082869082448925,4.813477733748218,2015 Q4,5.8343175,8.430710645999362,0.16669726034854726
NAIRU[74],4.545033724483979,4.1343658078221885,4.924076587740953,4.292066974274099,4.790667962797562,2016 Q1,5.796893633333333,3.9254931018431805,0.11526018867281662
NAIRU[75],4.535191200533831,4.1232113692352526,4.9175416665478595,4.281202253559964,4.7796328403298665,2016 Q2,5.6870614999999995,2.2037031046728828,-0.44856361506638853
NAIRU[76],4.522323331094654,4.114478807944373,4.903880827376611,4.27051414158008,4.764332332218573,2016 Q3,5.658726533333334,-2.092491342424818,1.0401519345789367
NAIRU[77],4.513996913455276,4.1042814975563076,4.895951160788859,4.260307490792315,4.755836378991448,2016 Q4,5.7332262,-4.082199452025481,-1.4132572652134634
NAIRU[78],4.512417618891364,4.107385423840566,4.888380966807088,4.260465375216,4.754786822786212,2017 Q1,5.8083196,-3.3046485355948008,0.6881078045364197
NAIRU[79],4.509906910402224,4.110350706879425,4.886078193635851,4.258260556887034,4.7470628643093145,2017 Q2,5.5925758000000005,-0.9636517848274018,0.7077265478092398
NAIRU[80],4.501536896437582,4.098237483780873,4.870267821208008,4.2533687482565155,4.736743756100896,2017 Q3,5.5341101,-1.5986130846302515,0.3377206918603992
NAIRU[81],4.493963557122822,4.098516293840864,4.8650434092887505,4.247134590127546,4.728476364858933,2017 Q4,5.491339666666667,-0.44424773195608225,1.1903354612601835
NAIRU[82],4.483994364802669,4.088852670885124,4.849602996206398,4.24001087515812,4.716374279863067,2018 Q1,5.5460239,-0.5319161477600254,0.09510774240596431
NAIRU[83],4.475713993528503,4.081726821009885,4.838235222668654,4.230391648225727,4.704521905395842,2018 Q2,5.4403123,0.4391750580978737,0.24682261989722454
NAIRU[84],4.466738473332381,4.077514993062014,4.829569512708319,4.227684436126903,4.699351678768977,2018 Q3,5.1876283,3.5183928124475905,0.9602217379862887
NAIRU[85],4.464595582975191,4.072500407749478,4.8281501538173215,4.223703171657109,4.696231373857945,2018 Q4,5.042911233333333,3.4999197780220648,1.049322433944666
NAIRU[86],4.4621521060781095,4.0704803550271915,4.822772128396941,4.221485583292075,4.691928120645058,2019 Q1,5.042161233333333,3.2359622773336483,0.7292661494634811
NAIRU[87],4.462257235136692,4.068776390371777,4.82099740235345,4.219295027933981,4.689878009342007,2019 Q2,5.224567733333333,2.851165052596638,1.2127864021047152
NAIRU[88],4.466105833002251,4.074752952684756,4.828103242643495,4.225520422990661,4.693816440656821,2019 Q3,5.256432566666667,2.3068088250274066,0.41604346748018717
NAIRU[89],4.475600336745931,4.085385518911821,4.839283583056141,4.235208951101597,4.70486572581955,2019 Q4,5.1711290666666665,2.1268347403926136,0.6440798377567059
NAIRU[90],4.49371920621136,4.108283264044337,4.856991452136667,4.250725447105658,4.725421089965365,2020 Q1,5.1843763,2.4650631943442747,1.0083613441812744
