parameter,mean,median,sd,lower5,lower15,upper85,upper95
gamma_pt_lag[4],-0.4902108544978938,-0.49016657309519013,0.30980897302188837,-0.9976397671890886,-0.8088344914820306,-0.17094875588821792,0.018701173658136477
gamma_pu_0,-0.4240206631058581,-0.42026462545292753,0.28915351621872903,-0.899758024634153,-0.7265337365796849,-0.1241358207431126,0.04591807205269961
gamma_pu_lag[1],0.19353543112669813,0.18720002323223128,0.5300614984797536,-0.6626656974603091,-0.36667593258704767,0.7422850592722086,1.0858863602373565
gamma_pu_lag[2],-0.7074095573569295,-0.6856363858570447,0.4793510511451433,-1.5295462152579624,-1.210315815697904,-0.2036296768903173,0.03640275457233283
lambda_pt_0,-0.08671196600160351,-0.08508063267308005,0.35522765784927995,-0.6719862104105716,-0.45735926069431093,0.28427582783076116,0.49392642813323345
lambda_pt_lag[1],-0.5022311029974844,-0.5024117560782264,0.8730114501449613,-1.8666775181171325,-1.5589957549454698,0.5560743755255037,0.8579300374393526
lambda_pt_lag[2],-0.5110562527743064,-0.5152577951895051,0.863743416977202,-1.8528048977420666,-1.553168810311447,0.5383536919316894,0.8416405358992184
lambda_pt_lag[3],-0.5096065928099265,-0.5082560569702663,0.8620506533086162,-1.8512612502394967,-1.5552885700315149,0.5349831130362657,0.8498738069922138
lambda_pt_lag[4],-0.5000329189157882,-0.4958687478969395,0.8656672439313874,-1.847161903192062,-1.5544074791897777,0.5510729195977359,0.8487109185016651
lambda_pu_0,-0.8130858104682113,-0.7828617619585705,0.4556060136810334,-1.620494498853984,-1.3019410632185158,-0.3221341785763485,-0.12556164872857292
lambda_pu_lag[1],-2.9955286494006503,-2.9986006205703273,1.7387461856179718,-5.708111911118327,-5.1157244638507144,-0.8762820883261566,-0.29617249814639685
lambda_pu_lag[2],-3.000980343945651,-2.9908634325269774,1.7196926077962271,-5.676631364288907,-5.073764927328727,-0.9288680758382124,-0.31194943698204397
nhat_init,5.763011904983318,5.77118664809669,0.16785001273051073,5.474110934437681,5.585299472283572,5.943263758185012,6.022171902651937
phi_pt_0,-0.05366892255738658,-0.05410396515260821,0.14262685885685394,-0.2877192788537003,-0.20082303682407965,0.09458051027458297,0.18292867622658412
phi_pt_lag[1],-0.12137364251978056,-0.12261999701703974,0.14409126474460146,-0.35652871978989403,-0.26803332888773895,0.028105600260822004,0.11956416150395383
phi_pt_lag[2],0.05663036113277646,0.05748651501694996,0.1385323524704478,-0.17168129112865432,-0.08569793418309375,0.20000731170709474,0.28418933721198236
phi_pt_lag[3],-0.1142916353841095,-0.11440629970785102,0.13743107424603795,-0.33798331531835435,-0.257277862185796,0.027815147797281115,0.11331763562514348
phi_pt_lag[4],-0.1737606587089496,-0.17403828575865904,0.13348795280158246,-0.39300364872878396,-0.3125807139637698,-0.03580742571253549,0.04753798468114257
pt_residuals[100],0.0793963546028401,0.07848986896974597,0.0964303403808394,-0.07961275956277905,-0.01814355616374857,0.17901728771115916,0.23666936630865443
pt_residuals[101],-0.05188222918428678,-0.05152374199426346,0.09339189265819214,-0.20494829569670361,-0.14869977827098915,0.045030294445043466,0.1002864921878471
pt_residuals[102],-0.06093728546834919,-0.0612157409989863,0.10636783273942062,-0.2364148880718584,-0.1706374850914938,0.048516455229675855,0.11349105325320274
pt_residuals[103],-0.004786141121353307,-0.004017158116882524,0.08092968957945063,-0.13883509108701092,-0.08819892751880112,0.07911143656915037,0.12776285962528575
pt_residuals[104],0.23286194545711872,0.23348393984847576,0.07463425995651471,0.1088136276303757,0.15510854554947143,0.3103741991177293,0.3549853259661504
pt_residuals[105],0.03025997045998601,0.030355079148184583,0.08580232823470206,-0.11224303589744243,-0.05789521329751736,0.11983031864659127,0.17011621652883369
pt_residuals[106],0.1847065362978187,0.18493384451490041,0.08426806072635513,0.04682602586399058,0.09756997330853161,0.27178586856160813,0.3230240155547412
pt_residuals[107],-0.026884047638942275,-0.026872690712154423,0.08217663203749931,-0.16320704300942257,-0.11175477305088062,0.05788684233208759,0.1078645383355907
pt_residuals[108],0.040309092788755836,0.0400405910369096,0.07554163360442676,-0.08248943715062983,-0.03795693754525336,0.11762819648293246,0.1644597130475068
pt_residuals[109],-0.12068159037439526,-0.12058455002881041,0.07515043115951195,-0.24464477218407138,-0.19807253809329903,-0.043408925013945915,0.0032540022232345864
pt_residuals[10],0.06487403219761366,0.06459697295914718,0.05180239539055198,-0.02035802413917497,0.01163733819262408,0.11839897508704379,0.14937449726997384
