variable,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST,DLWPI_EST
NAIRU[16],6.346903038094364,5.967786198693102,6.736330824328199,6.109463518646093,6.591705315284775,2001 Q3,6.867468833333334,5.66886876816568,-0.08790343666669198,0.6626929487609345
NAIRU[17],6.312093167058666,5.939610489843165,6.705896614416417,6.074401253350646,6.55859109653264,2001 Q4,6.979271533333333,2.8755974987303645,-0.040595708002344466,0.7894777847007539
NAIRU[18],6.273880888715116,5.9012088475780855,6.662519270781932,6.041135510980793,6.515192503998413,2002 Q1,6.626567866666667,1.9355442952956103,0.46183061194531305,0.7832938221187469
NAIRU[19],6.222987590627483,5.855848244016339,6.611236490889889,5.992047642906712,6.4640907947320265,2002 Q2,6.404474766666667,-4.324132417319415,-0.13362338362605808,0.7772059847702906
NAIRU[20],6.17680156530845,5.810036476094446,6.5619090117829675,5.943087755264874,6.41665266989225,2002 Q3,6.280212733333333,-2.753210339020118,1.516859752793609,0.8991711191963958
NAIRU[21],6.11054500047492,5.747888486856547,6.489970577175284,5.878610732278383,6.348180070532473,2002 Q4,6.1575767,-4.345011692652445,-0.011536428285330302,0.8911580300563493
NAIRU[22],6.06081611790447,5.700338425712425,6.439523226419444,5.831365783870345,6.296956651339978,2003 Q1,6.0556449,-4.659608729443221,1.5506952955106845,1.0088357944340487
NAIRU[23],5.988694944194606,5.63751281938492,6.360560642099933,5.762860786203142,6.220853711819458,2003 Q2,6.050972933333333,-5.552309049921789,1.5393829561102912,0.7500035156546403
NAIRU[24],5.9063001062708995,5.557703768383545,6.27661918980275,5.684740694262432,6.1346338013037425,2003 Q3,5.906948066666667,-8.031641781620547,-0.5815058324957212,0.8679533719723409
NAIRU[25],5.844039346359437,5.4981086972991955,6.210791635811347,5.623449897649116,6.074061328078069,2003 Q4,5.708732366666667,-10.389959501815138,0.09632446944294326,0.9828088936262525
NAIRU[26],5.7863655787883195,5.442928033849017,6.150689887304118,5.567928306797675,6.010840468630506,2004 Q1,5.537008233333333,-11.98772772594987,1.3564890671777352,0.8521049731933239
NAIRU[27],5.734159144619504,5.392363005131663,6.099232176607129,5.51608185716436,5.962557424305056,2004 Q2,5.435607833333333,-6.52308022313326,0.743696782644232,0.8449054486527885
NAIRU[28],5.677948593213612,5.336238316466395,6.044061685305322,5.461057776463765,5.9056935020023476,2004 Q3,5.4793238,-2.613938820303563,1.4948398670257212,0.8378265645998084
NAIRU[29],5.627287277746042,5.289742887195024,5.9950047070898025,5.411121749751319,5.851417722651457,2004 Q4,5.1174322,-2.0277192439150937,1.3463102792216297,1.0669929324696348
NAIRU[30],5.5642194490802765,5.224035183924976,5.9306270220333595,5.345325454849993,5.7887178948145985,2005 Q1,5.106875466666667,-0.5676458004804985,0.873473435295713,1.0557282805876866
NAIRU[31],5.515173004213299,5.1783395747397005,5.875867602335428,5.299744376053043,5.737346225601058,2005 Q2,5.057009066666667,-2.6194201090823377,0.7519179010381682,1.0446989964655096
NAIRU[32],5.45611013937576,5.119587081674125,5.815087608264259,5.242802556788078,5.67820238019602,2005 Q3,4.958453066666666,-2.6841037524811817,1.1660491840322917,0.9195467093100262
NAIRU[33],5.40407812049067,5.067565264811109,5.764675947342165,5.1927184282072885,5.625504619885124,2005 Q4,5.007769466666667,-1.0294896726862568,0.5469892555653999,1.0244824948425268
NAIRU[34],5.358859967537727,5.025955531359933,5.71480900484607,5.147735780724488,5.577283161666548,2006 Q1,5.044552666666666,1.1320875624481808,1.8728359452066412,1.014093197604904
NAIRU[35],5.320226979187186,4.990323819452627,5.676919812854333,5.111897424429426,5.537371331870422,2006 Q2,4.857195366666667,1.2246973609973288,1.2483713884416048,1.0039125028328044
NAIRU[36],5.27480978292958,4.942576609049212,5.630806894271976,5.065856592010526,5.494156298495886,2006 Q3,4.678258233333334,-0.7532992307544895,0.32535042220018795,0.8839836569141113
NAIRU[37],5.2542990637609055,4.925402954141204,5.609115276977525,5.046339357807325,5.473284309502873,2006 Q4,4.515391533333333,-1.5166167471410752,2.185983810148606,1.0941028178208967
NAIRU[38],5.214642533807878,4.887938487604876,5.5677212855536595,5.004910903682391,5.431529332383142,2007 Q1,4.549659466666666,-2.2771382412477337,1.0509687371229148,0.9745610430512919
NAIRU[39],5.1730127256170935,4.849525605096411,5.5240114732213765,4.967267486319669,5.389847875068386,2007 Q2,4.324776,-4.011999378942566,1.9302836253491495,1.071821622002389
NAIRU[40],5.138716021607092,4.819621506018546,5.484894264012698,4.937016594899579,5.351139919884054,2007 Q3,4.255168566666667,-4.050698427981736,0.5937212252953739,1.0604553248797721
NAIRU[41],5.099762828077549,4.782055312180452,5.442771363278552,4.901441637473803,5.31129314970004,2007 Q4,4.353768033333333,-4.293342290860114,1.1775649176656078,0.8403410796379518
