variable,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg
NAIRU[65],5.437168757934786,4.925500979298851,6.004146305737497,5.08467399195371,5.815975062104547,2013 Q4,5.839647699537654,4.629088381435409
NAIRU[66],5.379148085067152,4.852461568558273,5.9985532004803055,5.035575062764282,5.743164114291214,2014 Q1,5.897873880124049,7.669939312596341
NAIRU[67],5.326757915626843,4.79593411484764,5.9431949480527155,4.984577995008529,5.675430690539088,2014 Q2,5.927387687552555,4.964523048916547
NAIRU[68],5.296695065464692,4.691020583102003,5.834129150219069,4.934162736690484,5.653773832905741,2014 Q3,6.172778285491343,-0.19047624806542984
NAIRU[69],5.2979932276474395,4.701357424396522,5.832973522392186,4.916637532124998,5.623273353102936,2014 Q4,6.252883573685142,3.8702329019038473
NAIRU[70],5.247172275319848,4.663096520072085,5.838853482108031,4.84778387811589,5.590500471681974,2015 Q1,6.20155130603851,4.923510299768541
NAIRU[71],5.182763100716409,4.579689272905762,5.713724937684397,4.809610672522049,5.524815676522428,2015 Q2,6.016607495151483,6.346957394866681
NAIRU[72],5.17006471125751,4.554478379336872,5.681605984496293,4.811343079786549,5.476532142517625,2015 Q3,6.181795470192542,9.97202349434545
NAIRU[73],5.149765699098313,4.512247270724729,5.6897287788806645,4.7817714221926275,5.475196971138352,2015 Q4,5.834411024694431,8.430710645999362
NAIRU[74],5.11507672795002,4.517522582733809,5.6103800672622155,4.739550307093181,5.420748408713897,2016 Q1,5.7950730791301535,3.9254931018431805
NAIRU[75],5.113059273496285,4.541163570055346,5.633418303618842,4.785600586028206,5.428006396630676,2016 Q2,5.686931381077631,2.2037031046728828
NAIRU[76],5.092693128407253,4.562444443600903,5.645145170883958,4.781727500252923,5.431081720680375,2016 Q3,5.661447708512646,-2.092491342424818
NAIRU[77],5.106789695929065,4.572598944661227,5.644681067881121,4.7629787528872205,5.46129432997024,2016 Q4,5.733902451534723,-4.082199452025481
NAIRU[78],5.137954584544254,4.612860860841599,5.657980936204457,4.790421555034353,5.487238678862287,2017 Q1,5.805652724839561,-3.3046485355948008
NAIRU[79],5.151894159249827,4.596850639214739,5.686856649566165,4.784117849542157,5.511093086932859,2017 Q2,5.592023946374547,-0.9636517848274018
NAIRU[80],5.143823256262591,4.599094715498611,5.693082806059095,4.809995864147208,5.496721724855721,2017 Q3,5.538129595756791,-1.5986130846302515
NAIRU[81],5.158360875182982,4.631803535700076,5.690137611168202,4.837629918451073,5.460815049054749,2017 Q4,5.492058198737104,-0.44424773195608225
NAIRU[82],5.187115706168599,4.649316955492998,5.721429071982764,4.867264092613732,5.524266479253114,2018 Q1,5.542124697140272,-0.5319161477600254
NAIRU[83],5.218263246518902,4.727556693538303,5.761124097871529,4.880025925236249,5.597892289221145,2018 Q2,5.4389770792106384,0.4391750580978737
NAIRU[84],5.248671988395352,4.716342768730846,5.810065552685556,4.912824983954093,5.60030739996405,2018 Q3,5.193334293158891,3.5183928124475905
NAIRU[85],5.279807648451315,4.7690567549224,5.812350857811116,4.955643996679258,5.628153821973759,2018 Q4,5.043640147770656,3.4999197780220648
NAIRU[86],5.335526380038134,4.758001728087147,5.8825050535886865,4.946601454687933,5.66538234639864,2019 Q1,5.037219747853161,3.2359622773336483
NAIRU[87],5.382220602386985,4.817905506026652,5.953839837866896,5.033475383450124,5.744830512041527,2019 Q2,5.223186881256381,2.851165052596638
NAIRU[88],5.432537120936395,4.87231213356879,5.999978903986537,5.085205769284075,5.791703211436003,2019 Q3,5.264737164619726,2.3068088250274066
NAIRU[89],5.467040845250911,4.836039227681025,6.004410894765298,5.112761633142031,5.813316975669652,2019 Q4,5.1718766658956135,2.1268347403926136
NAIRU[90],5.48820393359269,4.89326891870028,6.079776548865837,5.115993219831101,5.870879373677589,2020 Q1,5.1772890175649895,2.4650631943442747
NAIRU[91],5.439163332069086,4.819251142157527,6.077550622922987,5.093288724750588,5.835201997004688,2020 Q2,6.9038663089983965,3.843413733926049
NAIRU[92],5.43065153843362,4.846511062987537,6.079483943481434,5.03345156590108,5.850842686170411,2020 Q3,7.070988975559089,-0.9333966790475046
NAIRU[93],5.4169601092685955,4.796759666327503,6.006602450585366,5.033640996851912,5.806430222769329,2020 Q4,6.773219451262813,-2.2989518224698635
NAIRU[94],5.358961087807161,4.797852679908843,5.9494656802552,4.994602557297489,5.722266804411524,2021 Q1,5.917811434267383,-4.464260590811708
NAIRU[95],5.322266770725184,4.722001277105752,5.886578296500726,4.97427275824573,5.700724523664699,2021 Q2,5.198921666774425,-6.782259633876109
NAIRU[96],5.364269370610135,4.720175006661534,5.9581785686372815,4.97632577482451,5.737005339063564,2021 Q3,4.684964009354031,1.1864545956192352
NAIRU[97],5.3968853654932785,4.766754928940658,6.03819668710178,4.970744793046004,5.79738708139158,2021 Q4,4.689508903648088,5.202515398928043
NAIRU[98],5.385818895820339,4.75755835701384,6.051489508919033,4.97922123477961,5.808207276581844,2022 Q1,4.04636496832792,9.299286684916463
NAIRU[99],5.382103067568064,4.739025063405635,6.082054026364754,4.943532083754364,5.809387351457606,2022 Q2,3.8004627770142463,8.08520966290951
NAIRU[100],5.397355558456618,4.697010906791344,6.134669642380481,4.951110183268554,5.894563173953593,2022 Q3,3.542328910183179,8.939550265436758
NAIRU[101],5.299657071703571,4.66174520494554,6.037247616605694,4.863168211522733,5.7604866968739366,2022 Q4,3.4918192594081243,8.687509078839728
NAIRU[102],5.240526105242675,4.626642389148113,5.9758151461588644,4.833099728744534,5.676421281282034,2023 Q1,3.6057787262440466,4.382547954002902
NAIRU[103],5.210573983879829,4.526042079570955,5.863304230088409,4.821681020600064,5.6299876366807995,2023 Q2,3.608505766255987,6.271647386762602
NAIRU[104],5.27145817710894,4.609356131760915,5.889534798295688,4.859037558769382,5.667982047329183,2023 Q3,3.6717762047855262,1.3772214621226908
NAIRU[105],5.1883403065956255,4.604406776320407,5.850141447060242,4.8192040101398455,5.599373777754667,2023 Q4,3.898443096718318,0.5979091056057761
NAIRU[106],5.112738527154294,4.513267973841444,5.76679990493557,4.768013662680162,5.540986521965154,2024 Q1,3.8913820129958476,1.0662705744040046
NAIRU[107],5.07276204160545,4.528197551080724,5.665491147074891,4.7186752519167685,5.46737121555274,2024 Q2,4.052039252255158,0.9077218151117172
NAIRU[108],5.024772523403048,4.492156261421431,5.692070766581316,4.688472644468428,5.4335404448705535,2024 Q3,4.14111630035795,1.1333706509849328
NAIRU[109],4.988610675891257,4.452190031667493,5.593783894832378,4.65859059357843,5.366666493288334,2024 Q4,4.006588830115964,0.4460973940624946
NAIRU[110],5.0187473524668444,4.4368664543031215,5.652979554490522,4.639907262260874,5.432440352991309,2025 Q1,4.066726698193291,3.2056416116116537
